STATUS | wrapper  | 2013/11/26 21:16:15 | --> Wrapper Started as Daemon
STATUS | wrapper  | 2013/11/26 21:16:15 | Java Service Wrapper Community Edition 32-bit 3.5.3
STATUS | wrapper  | 2013/11/26 21:16:15 |   Copyright (C) 1999-2010 Tanuki Software, Ltd. All Rights Reserved.
STATUS | wrapper  | 2013/11/26 21:16:15 |     http://wrapper.tanukisoftware.com
STATUS | wrapper  | 2013/11/26 21:16:15 | 
STATUS | wrapper  | 2013/11/26 21:16:16 | Launching a JVM...
INFO   | jvm 1    | 2013/11/26 21:16:17 | WrapperManager: Initializing...
INFO   | jvm 1    | 2013/11/26 21:16:17 | WrapperManager: WARNING - The Wrapper jar file currently in use is version "3.3.9"
INFO   | jvm 1    | 2013/11/26 21:16:17 | WrapperManager:           while the version of the Wrapper which launched this JVM is 
INFO   | jvm 1    | 2013/11/26 21:16:17 | WrapperManager:           "3.5.3".
INFO   | jvm 1    | 2013/11/26 21:16:17 | WrapperManager:           The Wrapper may appear to work correctly but some features may
INFO   | jvm 1    | 2013/11/26 21:16:17 | WrapperManager:           not function correctly.  This configuration has not been tested
INFO   | jvm 1    | 2013/11/26 21:16:17 | WrapperManager:           and is not supported.
INFO   | jvm 1    | 2013/11/26 21:16:17 | WrapperManager: 
INFO   | jvm 1    | 2013/11/26 21:16:17 | WrapperManager: 
INFO   | jvm 1    | 2013/11/26 21:16:17 | WrapperManager: WARNING - Unable to load the Wrapper's native library because none of the
INFO   | jvm 1    | 2013/11/26 21:16:17 | WrapperManager:           following files:
INFO   | jvm 1    | 2013/11/26 21:16:17 | WrapperManager:             libwrapper-linux-x86-64.so
INFO   | jvm 1    | 2013/11/26 21:16:17 | WrapperManager:             libwrapper.so
INFO   | jvm 1    | 2013/11/26 21:16:17 | WrapperManager:           could be located on the following java.library.path:
INFO   | jvm 1    | 2013/11/26 21:16:17 | WrapperManager:             /home/jonny/archive/ezScrum_Ubuntu/./lib
INFO   | jvm 1    | 2013/11/26 21:16:17 | WrapperManager:           Please see the documentation for the wrapper.java.library.path
INFO   | jvm 1    | 2013/11/26 21:16:17 | WrapperManager:           configuration property.
INFO   | jvm 1    | 2013/11/26 21:16:17 | WrapperManager:           System signals will not be handled correctly.
INFO   | jvm 1    | 2013/11/26 21:16:17 | WrapperManager: 
INFO   | jvm 1    | 2013/11/26 21:16:18 | 2013-11-26 21:16:18.044:INFO::Logging to STDERR via org.mortbay.log.StdErrLog
INFO   | jvm 1    | 2013/11/26 21:16:18 | 2013-11-26 21:16:18.424:INFO::jetty-6.1.22
INFO   | jvm 1    | 2013/11/26 21:16:27 | Nov 26, 2013 9:16:27 PM ntut.csie.ezScrum.web.InitialPlugIn init
INFO   | jvm 1    | 2013/11/26 21:16:27 | INFO: *************Plugin Initail***********
INFO   | jvm 1    | 2013/11/26 21:16:27 | Nov 26, 2013 9:16:27 PM ntut.csie.ezScrum.web.InitialPlugIn init
INFO   | jvm 1    | 2013/11/26 21:16:27 | INFO: ezScrum Version: ezScrum v1.7.1
INFO   | jvm 1    | 2013/11/26 21:16:27 | Nov 26, 2013 9:16:27 PM ntut.csie.ezScrum.web.InitialPlugIn init
INFO   | jvm 1    | 2013/11/26 21:16:27 | INFO: ezScrum Update Server: http://127.0.0.1/ezScrumUpdateInfo
INFO   | jvm 1    | 2013/11/26 21:16:27 | Nov 26, 2013 9:16:27 PM ntut.csie.ezScrum.web.InitialPlugIn init
INFO   | jvm 1    | 2013/11/26 21:16:27 | INFO: ezScrum Update Download Path: /root/.ezScrum/updates
INFO   | jvm 1    | 2013/11/26 21:16:27 | Nov 26, 2013 9:16:27 PM ntut.csie.ezScrum.web.InitialPlugIn init
INFO   | jvm 1    | 2013/11/26 21:16:27 | INFO: ezScrum Start Time: Tue Nov 26 21:16:27 CST 2013
INFO   | jvm 1    | 2013/11/26 21:16:28 | Nov 26, 2013 9:16:27 PM ntut.csie.jcis.resource.core.internal.Workspace loadRoot
INFO   | jvm 1    | 2013/11/26 21:16:28 | INFO: WorkspaceRoot Path:/home/jonny/archive/ezScrum_Ubuntu/WebContent/Workspace
INFO   | jvm 1    | 2013/11/26 21:16:29 | Nov 26, 2013 9:16:29 PM ntut.csie.ezScrum.web.InitialPlugIn init
INFO   | jvm 1    | 2013/11/26 21:16:29 | INFO: *************Plugin Initail END***********
INFO   | jvm 1    | 2013/11/26 21:16:29 | Nov 26, 2013 9:16:29 PM org.apache.struts.validator.ValidatorPlugIn initResources
INFO   | jvm 1    | 2013/11/26 21:16:29 | INFO: Loading validation rules file from '/WEB-INF/validator-rules.xml'
INFO   | jvm 1    | 2013/11/26 21:16:29 | Nov 26, 2013 9:16:29 PM org.apache.struts.validator.ValidatorPlugIn initResources
INFO   | jvm 1    | 2013/11/26 21:16:29 | INFO: Loading validation rules file from '/WEB-INF/validation.xml'
INFO   | jvm 1    | 2013/11/26 21:16:29 | Nov 26, 2013 9:16:29 PM org.apache.struts.tiles.TilesPlugin initDefinitionsFactory
INFO   | jvm 1    | 2013/11/26 21:16:29 | INFO: Tiles definition factory loaded for module ''.
INFO   | jvm 1    | 2013/11/26 21:16:30 | Nov 26, 2013 9:16:30 PM com.sun.jersey.api.core.PackagesResourceConfig init
INFO   | jvm 1    | 2013/11/26 21:16:30 | INFO: Scanning for root resource and provider classes in the packages:
INFO   | jvm 1    | 2013/11/26 21:16:30 |   ntut.csie.ezScrum.web.service.mobile.control.restful
INFO   | jvm 1    | 2013/11/26 21:16:30 | Nov 26, 2013 9:16:30 PM com.sun.jersey.api.core.ScanningResourceConfig logClasses
INFO   | jvm 1    | 2013/11/26 21:16:30 | INFO: Root resource classes found:
